codec,tool,input_bytes,archive_bytes,ratio,compress_seconds,decompress_seconds,compress_mib_s,decompress_mib_s,compress_repeats,decompress_repeats,verified
axiom-1,Axiom,100000000,37306501,2.680498,0.353232,0.105423,269.9855,904.6161,2,3,True
axiom-2,Axiom,100000000,32824673,3.046489,0.908776,0.096686,104.9405,986.3583,2,3,True
axiom-3,Axiom,100000000,32380825,3.088247,1.179941,0.095414,80.8239,999.5161,2,3,True
axiom-4,Axiom,100000000,32061037,3.119051,2.036321,0.097723,46.8332,975.8995,2,3,True
axiom-5,Axiom,100000000,31844272,3.140282,2.543288,0.095513,37.4977,998.4812,2,3,True
axiom-6,Axiom,100000000,31702868,3.154289,3.415561,0.095453,27.9215,999.1025,2,3,True
axiom-7,Axiom,100000000,30741483,3.252934,2.955767,0.105892,32.2649,900.6070,2,3,True
axiom-8,Axiom,100000000,28737729,3.479746,6.817974,0.096600,13.9876,987.2374,2,3,True
axiom-9,Axiom,100000000,28477916,3.511493,7.052870,0.100077,13.5218,952.9367,2,3,True
lz4-1,LZ4,100000000,57285984,1.745628,0.067052,0.053241,1422.2885,1791.2337,2,3,True
lz4-9-hc,LZ4,100000000,42276858,2.365360,0.188661,0.051090,505.4965,1866.6519,2,3,True
zstd-1,zstd,100000000,40675947,2.458455,0.045503,0.080815,2095.8263,1180.0651,2,3,True
zstd-3,zstd,100000000,35445335,2.821246,0.077302,0.094500,1233.6946,1009.1792,2,3,True
zstd-9,zstd,100000000,31129515,3.212385,0.491144,0.092470,194.1739,1031.3337,2,3,True
zstd-19,zstd,100000000,26944227,3.711370,17.459049,0.096842,5.4623,984.7775,2,3,True
zstd-22-ultra,zstd,100000000,25272471,3.956875,59.769483,0.119897,1.5956,795.4080,2,3,True
7z-lzma2-mx5,7-Zip,100000000,25399244,3.937125,35.845749,0.644274,2.6605,148.0230,2,3,True
7z-lzma2-mx9,7-Zip,100000000,24799463,4.032345,41.197643,0.653359,2.3149,145.9648,2,3,True
7z-bzip2-mx9,7-Zip,100000000,29006372,3.447518,4.193702,1.042152,22.7406,91.5101,2,3,True
7z-gzip-mx9,7-Zip,100000000,35103261,2.848738,41.173862,0.467975,2.3162,203.7873,2,3,True
winrar-m3,WinRAR,100000000,28649931,3.490410,1.619690,0.280809,58.8801,339.6164,2,3,True
winrar-m5-128m,WinRAR,100000000,26922404,3.714379,2.354749,0.281072,40.5000,339.2994,2,3,True
