member,input_bytes,axiom9_bytes,axiom9_seconds,axiom9-t1_bytes,axiom9-t1_seconds,7z-mx5_bytes,7z-mx5_seconds,7z-mx9_bytes,7z-mx9_seconds
dickens,10192446,2903688,9.518,2903688,9.652,2831369,2.792,2831111,2.986
mozilla,51220480,15858457,3.056,15405821,43.329,13457476,7.387,13344686,8.213
mr,9970564,3016417,8.739,3016417,8.502,2749857,1.569,2748257,1.547
nci,33553445,1802126,4.012,1533618,33.225,1965666,2.754,1741410,4.687
ooffice,6152192,2383855,3.594,2383855,3.215,2428026,0.744,2425568,0.717
osdb,10085684,2959463,6.687,2959463,6.681,2871828,1.416,2851796,1.356
reymont,6627202,1387313,5.732,1387313,5.553,1340967,1.502,1318394,1.533
samba,21606400,4228661,3.972,4088518,15.534,3856879,2.079,3759770,2.293
sao,7251944,4889925,4.656,4892979,4.633,4413908,0.821,4413926,0.846
webster,41458703,9453922,3.438,8580650,44.075,8728881,12.013,8388839,13.752
x-ray,8474240,5121842,5.431,5189232,5.230,4479179,0.979,4479871,1.036
xml,5345280,478330,3.177,478443,3.171,484913,0.337,455003,0.435
