member,input_bytes,axiom9_bytes,axiom9_seconds,axiom9-t1_bytes,axiom9-t1_seconds,7z-mx5_bytes,7z-mx5_seconds,7z-mx9_bytes,7z-mx9_seconds
dickens,10192446,2903688,9.570,2903688,9.153,2831369,3.015,2831111,2.850
mozilla,51220480,15842231,3.105,15405821,42.478,13457476,7.309,13344686,8.328
mr,9970564,3016417,8.739,3016417,8.635,2749857,1.544,2748257,1.517
nci,33553445,1801904,3.848,1533618,32.656,1965666,2.712,1741410,4.708
ooffice,6152192,2383503,3.609,2383503,3.315,2428026,0.659,2425568,0.669
osdb,10085684,2959463,6.458,2959463,5.990,2871828,1.350,2851796,1.417
reymont,6627202,1387123,5.454,1387123,5.602,1340967,1.505,1318394,1.521
samba,21606400,4222719,4.066,4088518,15.326,3856879,2.092,3759770,2.354
sao,7251944,4889925,4.671,4892979,4.574,4413908,0.762,4413926,0.801
webster,41458703,9448266,3.443,8580650,42.058,8728881,11.619,8388839,12.675
x-ray,8474240,5119568,4.987,5189232,4.674,4479179,0.841,4479871,1.023
xml,5345280,476985,3.212,478443,3.053,484913,0.342,455003,0.456
