member,input_bytes,axiom9_bytes,axiom9_seconds,axiom9-t1_bytes,axiom9-t1_seconds,7z-mx5_bytes,7z-mx5_seconds,7z-mx9_bytes,7z-mx9_seconds
dickens,10192446,2903688,9.034,2903688,9.313,2831369,2.715,2831111,3.012
mozilla,51220480,15838336,2.954,15405821,42.078,13457476,7.384,13344686,7.978
mr,9970564,3016417,8.568,3016417,8.325,2749857,1.494,2748257,1.788
nci,33553445,1801904,3.761,1533618,30.396,1965666,2.701,1741410,4.702
ooffice,6152192,2378085,3.546,2378085,2.989,2428026,0.701,2425568,0.704
osdb,10085684,2959463,6.555,2959463,6.439,2871828,1.362,2851796,1.435
reymont,6627202,1384601,5.490,1384601,5.419,1340967,1.512,1318394,1.484
samba,21606400,4214267,3.924,4088518,15.092,3856879,2.121,3759770,2.333
sao,7251944,4884134,4.806,4892979,4.470,4413908,0.700,4413926,0.713
webster,41458703,9448266,3.606,8580650,42.130,8728881,10.989,8388839,12.316
x-ray,8474240,5119568,5.268,5189232,4.990,4479179,0.980,4479871,0.928
xml,5345280,476648,3.117,478443,3.072,484913,0.319,455003,0.441
