member,input_bytes,axiom9_bytes,axiom9_seconds,axiom9-t1_bytes,axiom9-t1_seconds,7z-mx5_bytes,7z-mx5_seconds,7z-mx9_bytes,7z-mx9_seconds
dickens,10192446,2903688,9.459,2903688,8.520,2831369,2.529,2831111,2.410
mozilla,51220480,15819070,3.478,15405821,37.617,13457476,6.723,13344686,7.007
mr,9970564,3016417,8.037,3016417,8.560,2749857,1.458,2748257,1.391
nci,33553445,1801904,3.978,1533618,29.631,1965666,2.518,1741410,4.314
ooffice,6152192,2378085,3.410,2378085,2.831,2428026,0.642,2425568,0.675
osdb,10085684,2959463,5.962,2959463,5.789,2871828,1.372,2851796,1.403
reymont,6627202,1384601,4.953,1384601,4.933,1340967,1.313,1318394,1.592
samba,21606400,4207366,3.923,4088518,14.602,3856879,1.926,3759770,2.262
sao,7251944,4886740,4.428,4892979,4.123,4413908,0.776,4413926,0.801
webster,41458703,9448266,4.119,8580650,38.967,8728881,11.193,8388839,12.401
x-ray,8474240,5119568,5.151,5189232,4.718,4479179,0.783,4479871,0.911
xml,5345280,473909,3.181,478443,2.985,484913,0.327,455003,0.441
