member,input_bytes,axiom9_bytes,axiom9_seconds,axiom9-t1_bytes,axiom9-t1_seconds,7z-mx5_bytes,7z-mx5_seconds,7z-mx9_bytes,7z-mx9_seconds
dickens,10192446,2903688,9.685,2903688,9.658,2831369,3.093,2831111,2.702
mozilla,51220480,15819070,4.065,15405821,43.647,13457476,7.566,13344686,8.527
mr,9970564,2225159,11.562,2226633,10.759,2749857,1.582,2748257,1.562
nci,33553445,1801904,3.866,1533618,33.605,1965666,2.845,1741410,4.958
ooffice,6152192,2378085,3.818,2378085,3.638,2428026,0.627,2425568,0.710
osdb,10085684,2959463,6.992,2959463,7.193,2871828,1.553,2851796,1.522
reymont,6627202,1384601,5.937,1384601,6.104,1340967,1.620,1318394,1.614
samba,21606400,4207366,4.431,4088518,15.628,3856879,2.160,3759770,2.371
sao,7251944,4886740,4.941,4892979,4.419,4413908,0.854,4413926,0.790
webster,41458703,9448266,3.563,8580650,45.139,8728881,12.925,8388839,14.012
x-ray,8474240,3774530,10.507,3789834,8.517,4479179,0.961,4479871,1.005
xml,5345280,473909,3.186,478443,3.117,484913,0.357,455003,0.465
