member,input_bytes,axiom9_bytes,axiom9_seconds,axiom9-t1_bytes,axiom9-t1_seconds,7z-mx5_bytes,7z-mx5_seconds,7z-mx9_bytes,7z-mx9_seconds
dickens,10192446,2888466,9.207,2888466,8.732,2831369,2.846,2831111,2.597
mozilla,51220480,15813751,3.953,15405821,40.350,13457476,7.042,13344686,8.045
mr,9970564,2225159,10.233,2226633,9.369,2749857,1.475,2748257,1.407
nci,33553445,1796186,3.629,1533618,29.713,1965666,2.682,1741410,4.356
ooffice,6152192,2363422,3.364,2363422,2.832,2428026,0.658,2425568,0.680
osdb,10085684,2959463,6.069,2959463,5.870,2871828,1.305,2851796,1.309
reymont,6627202,1377445,5.130,1377445,4.584,1340967,1.239,1318394,1.473
samba,21606400,4204738,3.894,4088518,13.637,3856879,1.985,3759770,2.042
sao,7251944,4884623,4.115,4892979,4.079,4413908,0.680,4413926,0.669
webster,41458703,9368717,3.280,8538616,38.243,8728881,10.595,8388839,11.505
x-ray,8474240,3774530,7.862,3789834,7.734,4479179,0.824,4479871,0.798
xml,5345280,472944,2.881,477546,2.854,484913,0.337,455003,0.441
