member,input_bytes,axiom9_bytes,axiom9_seconds,axiom9-t1_bytes,axiom9-t1_seconds,7z-mx5_bytes,7z-mx5_seconds,7z-mx9_bytes,7z-mx9_seconds
dickens,10192446,2903688,10.902,2903688,8.963,2831369,2.952,2831111,4.565
mozilla,51220480,16085226,17.748,15710839,82.304,13457476,26.441,13344686,22.869
mr,9970564,3120919,18.743,3120919,16.618,2749857,2.612,2748257,2.905
nci,33553445,1808452,15.973,1544070,59.145,1965666,5.829,1741410,11.930
ooffice,6152192,2383869,6.522,2383869,4.660,2428026,0.873,2425568,1.081
osdb,10085684,2980775,16.589,2980775,8.656,2871828,2.071,2851796,2.347
reymont,6627202,1387313,10.166,1387313,7.998,1340967,3.480,1318394,3.185
samba,21606400,4228661,10.079,4088518,24.270,3856879,3.499,3759770,4.062
sao,7251944,5013527,6.934,5018349,5.209,4413908,1.120,4413926,1.207
webster,41458703,9453922,12.786,8580650,74.095,8728881,21.397,8388839,22.380
x-ray,8474240,5302338,8.293,5322310,8.747,4479179,1.543,4479871,1.388
xml,5345280,478330,7.637,478443,6.682,484913,0.540,455003,0.890
