member,input_bytes,axiom9_bytes,axiom9_seconds,axiom9-t1_bytes,axiom9-t1_seconds,7z-mx5_bytes,7z-mx5_seconds,7z-mx9_bytes,7z-mx9_seconds
dickens,10192446,2903688,10.745,2903688,9.116,2831369,3.156,2831111,2.984
mozilla,51220480,16148393,3.951,15710839,49.798,13457476,7.805,13344686,8.500
mr,9970564,3120919,10.024,3120919,10.519,2749857,1.635,2748257,1.611
nci,33553445,1808452,4.286,1544070,37.299,1965666,2.969,1741410,4.858
ooffice,6152192,2383869,3.673,2383869,3.583,2428026,0.805,2425568,0.745
osdb,10085684,2980775,6.937,2980775,6.691,2871828,1.462,2851796,1.618
reymont,6627202,1387313,5.641,1387313,6.441,1340967,1.545,1318394,1.597
samba,21606400,4228661,4.396,4088518,17.295,3856879,2.800,3759770,2.540
sao,7251944,5013527,5.194,5018349,4.906,4413908,0.836,4413926,0.893
webster,41458703,9453922,3.620,8580650,52.395,8728881,13.558,8388839,14.642
x-ray,8474240,5302338,5.618,5322310,8.541,4479179,1.422,4479871,1.442
xml,5345280,478330,4.651,478443,3.460,484913,0.356,455003,0.459
