codec,tool,input_bytes,archive_bytes,ratio,compress_seconds,decompress_seconds,compress_mib_s,decompress_mib_s,compress_repeats,decompress_repeats,verified
axiom-1,Axiom,211948032,64903215,3.265601,0.808860,0.225689,249.8940,895.6107,2,3,True
axiom-2,Axiom,211948032,59101225,3.586187,1.796758,0.238503,112.4967,847.4935,2,3,True
axiom-3,Axiom,211948032,58425126,3.627686,2.055996,0.236009,98.3122,856.4478,2,3,True
axiom-4,Axiom,211948032,56845823,3.728472,2.731867,0.240462,73.9895,840.5859,2,3,True
axiom-5,Axiom,211948032,56490206,3.751943,3.173371,0.240707,63.6955,839.7318,2,3,True
axiom-6,Axiom,211948032,56240293,3.768615,4.236175,0.243814,47.7151,829.0315,2,3,True
axiom-7,Axiom,211948032,54878825,3.862110,6.310118,0.242284,32.0326,834.2653,2,3,True
axiom-8,Axiom,211948032,52410847,4.043973,14.384036,0.259840,14.0523,777.9007,2,3,True
axiom-9,Axiom,211948032,51386561,4.124581,21.310394,0.236442,9.4850,854.8787,2,3,True
lz4-1,LZ4,211948032,100936284,2.099820,0.102787,0.095368,1966.4860,2119.4588,2,3,True
lz4-9-hc,LZ4,211948032,78001951,2.717214,0.423834,0.098321,476.9064,2055.8047,2,3,True
zstd-1,zstd,211948032,73292289,2.891819,0.076219,0.148507,2651.9659,1361.0747,2,3,True
zstd-3,zstd,211948032,66218483,3.200738,0.127409,0.165133,1586.4671,1224.0378,2,3,True
zstd-9,zstd,211948032,59183962,3.581173,0.569307,0.157946,355.0447,1279.7382,2,3,True
zstd-19,zstd,211948032,52849796,4.010385,20.384857,0.182213,9.9157,1109.3053,2,3,True
zstd-22-ultra,zstd,211948032,52290065,4.053314,98.934405,0.191004,2.0431,1058.2475,2,3,True
7z-lzma2-mx5,7-Zip,211948032,49612484,4.272071,19.838484,0.811676,10.1888,249.0273,2,3,True
7z-lzma2-mx9,7-Zip,211948032,48686109,4.353357,40.028785,1.256529,5.0496,160.8633,2,3,True
7z-bzip2-mx9,7-Zip,211948032,54219646,3.909063,7.497276,2.172800,26.9604,93.0272,2,3,True
7z-gzip-mx9,7-Zip,211948032,64711300,3.275286,91.345935,0.811385,2.2128,249.1164,2,3,True
winrar-m3,WinRAR,211948032,54235316,3.907934,2.204050,0.505302,91.7082,400.0168,2,3,True
winrar-m5-128m,WinRAR,211948032,53154799,3.987373,3.538184,0.501027,57.1280,403.4299,2,3,True
